code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag
E09000002,barking and dagenham,01/12/2019,28738,,32010,,,,,,1
E09000002,barking and dagenham,01/12/2018,29995,7.52,32671,24,211998,66000,3780,74923,1
E09000002,barking and dagenham,01/12/2017,28553,7.66,32093,25,210711,66000,3780,74510,1
E09000002,barking and dagenham,01/12/2016,30994,7.5,37959,25,206460,63000,3780,73914,1
E09000002,barking and dagenham,01/12/2015,33018,7.45,36705,19,201979,62000,3780,73182,1
E09000002,barking and dagenham,01/12/2014,32698,7.32,36323,23,198294,59000,3780,72668,1
E09000002,barking and dagenham,01/12/2013,32248,7.01,37214,25,194352,54000,3780,71937,1
E09000002,barking and dagenham,01/12/2012,33131,7.09,37059,27,190560,55000,3780,71431,1
E09000002,barking and dagenham,01/12/2011,28201,7.05,33568,30,187029,54000,3780,71079,1
E09000002,barking and dagenham,01/12/2010,28527,,32996,28,182838,51000,3780,70946,1
E09000002,barking and dagenham,01/12/2009,30973,,33126,33,177580,47000,3780,70839,1
E09000002,barking and dagenham,01/12/2008,29396,,31795,25,172452,53000,3780,70551,1
E09000002,barking and dagenham,01/12/2007,30200,,31994,20,169031,52000,3780,69835,1
E09000002,barking and dagenham,01/12/2006,26549,,28660,21,167157,51000,3780,69529,1
E09000002,barking and dagenham,01/12/2005,26680,,28728,17,166275,53000,3780,69261,1
E09000002,barking and dagenham,01/12/2004,26089,,29088,14,165610,53000,3780,68899,1
E09000002,barking and dagenham,01/12/2003,25358,,27792,5,166210,55000,3780,68837,1
E09000002,barking and dagenham,01/12/2002,24813,,26653,3,166357,52000,3780,68526,1
E09000002,barking and dagenham,01/12/2001,22323,,26050,3,165654,54000,3780,68298,1
E09000002,barking and dagenham,01/12/2000,22618,,24696,4,163893,57000,,,1
E09000002,barking and dagenham,01/12/1999,21480,,23620,3,162444,,,,1
E09000003,barnet,01/12/2018,29927,7.55,36776,35,392140,170000,8675,150737,1
E09000003,barnet,01/12/2017,32143,7.63,36818,37,387803,176000,8675,148529,1
E09000003,barnet,01/12/2016,32623,7.47,35315,37,386083,169000,8675,146730,1
E09000003,barnet,01/12/2015,30900,7.53,34730,37,379691,168000,8675,145272,1
E09000003,barnet,01/12/2014,31162,7.54,34936,38,374915,165000,8675,143948,1
E09000003,barnet,01/12/2013,29353,7.4,33766,36,369088,159000,8675,142835,1
E09000003,barnet,01/12/2012,29594,7.28,33044,33,363956,154000,8675,141461,1
E09000003,barnet,01/12/2011,30237,7.43,33062,34,357538,147000,8675,139346,1
E09000003,barnet,01/12/2010,30000,,34077,33,351438,141000,8675,138616,1
E09000003,barnet,01/12/2009,30496,,35013,33,345829,143000,8675,137769,1
E09000003,barnet,01/12/2008,27978,,34468,31,339212,140000,8675,136680,1
E09000003,barnet,01/12/2007,27436,,33007,31,334837,136000,8675,135429,1
E09000003,barnet,01/12/2006,26071,,30923,29,330801,138000,8675,134941,1
E09000003,barnet,01/12/2005,27033,,31652,27,327541,136000,8675,133902,1
E09000003,barnet,01/12/2004,,,30795,20,323723,135000,8675,132856,1
E09000003,barnet,01/12/2003,23828,,30518,16,321802,138000,8675,131883,1
E09000003,barnet,01/12/2002,23112,,30210,13,320552,135000,8675,130801,1
E09000003,barnet,01/12/2001,20916,,26068,8,319481,138000,8675,130515,1
E09000003,barnet,01/12/2000,21761,,25755,8,315784,138000,,,1
E09000003,barnet,01/12/1999,19568,,23128,8,313469,,,,1
E09000004,bexley,01/12/2019,31642,,33978,,,,,,1
E09000004,bexley,01/12/2018,,7.54,34496,54,247258,87000,6429,97905,1
E09000004,bexley,01/12/2017,30733,7.42,33857,52,246124,91000,6429,97628,1
E09000004,bexley,01/12/2016,,7.46,32666,53,244760,86000,6429,96864,1
E09000004,bexley,01/12/2015,29664,7.41,33367,52,242142,86000,6429,96996,1
E09000004,bexley,01/12/2014,28505,7.52,31878,54,239865,80000,6429,96186,1
E09000004,bexley,01/12/2013,28512,7.28,32463,55,236687,80000,6429,95658,1
E09000004,bexley,01/12/2012,27440,7.42,30833,54,234271,78000,6429,95240,1
